method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
fixed_low,kitti,2011_09_26_drive_0028_sync,0.0,0.07980917703708519,7.602812241430141,,,4.998750312421894,50.01249687578107,4.998750312421894,50.01249687578107
fixed_low,kitti,2011_09_30_drive_0028_sync,0.0,0.44805166458449336,7.602812241430141,,,4.998930938635877,50.010690613641216,4.998930938635877,50.010690613641216
fixed_low,kitti,2011_09_30_drive_0033_sync,0.0,0.2866526790018187,7.602812241430141,,,5.0,50.0,5.0,50.0
fixed_low,kitti,2011_10_03_drive_0027_sync,0.0,0.2780218067279999,7.602812241430141,,,5.0,50.0,5.0,50.0
fixed_matched,kitti,2011_09_26_drive_0001_sync,0.0,0.032348282570777716,7.602812241430141,,,3.333333333333333,66.66666666666666,3.333333333333333,66.66666666666666
fixed_matched,kitti,2011_09_26_drive_0002_sync,0.0,0.024563788759287847,7.602812241430141,,,3.352601156069364,66.47398843930637,3.352601156069364,66.47398843930637
fixed_matched,kitti,2011_09_26_drive_0005_sync,0.0,0.018800811694736453,7.602812241430141,,,3.336236933797909,66.6376306620209,3.336236933797909,66.6376306620209
fixed_matched,kitti,2011_09_26_drive_0019_sync,0.0,0.02351238332107744,7.602812241430141,,,3.3340673860383174,66.65932613961682,3.3340673860383174,66.65932613961682
fixed_matched,kitti,2011_09_26_drive_0020_sync,0.0,0.010741418100073386,7.602812241430141,,,3.333333333333333,66.66666666666667,3.333333333333333,66.66666666666667
fixed_matched,kitti,2011_09_26_drive_0027_sync,0.0,0.02006622208955709,7.602812241430141,,,3.333333333333333,66.66666666666666,3.333333333333333,66.66666666666666
fixed_matched,kitti,2011_09_26_drive_0028_sync,0.0,0.09397218172434119,7.602812241430141,,,3.3341664583854036,66.65833541614596,3.3341664583854036,66.65833541614596
fixed_matched,kitti,2011_09_30_drive_0028_sync,0.0,0.5799304650601055,7.602812241430141,,,3.333333333333333,66.66666666666666,3.333333333333333,66.66666666666666
fixed_matched,kitti,2011_09_30_drive_0033_sync,0.0,0.3765697678091268,7.602812241430141,,,3.336380255941499,66.63619744058501,3.336380255941499,66.63619744058501
fixed_matched,kitti,2011_10_03_drive_0027_sync,0.0,0.36419872579908,7.602812241430141,,,3.333333333333333,66.66666666666667,3.333333333333333,66.66666666666667
heuristic,kitti,2011_09_26_drive_0001_sync,0.0,0.03875541110013428,7.602812241430141,,,2.492492492492492,75.07507507507508,2.492492492492492,75.07507507507508
heuristic,kitti,2011_09_26_drive_0002_sync,0.0,0.029459970041462634,7.602812241430141,,,2.485549132947977,75.14450867052022,2.485549132947977,75.14450867052022
heuristic,kitti,2011_09_26_drive_0005_sync,0.0,0.020393156381508085,7.602812241430141,,,2.4999999999999996,75.0,2.4999999999999996,75.0
heuristic,kitti,2011_09_26_drive_0019_sync,0.0,0.025818790213551008,7.602812241430141,,,2.499449460471262,75.00550539528739,2.499449460471262,75.00550539528739
heuristic,kitti,2011_09_26_drive_0020_sync,0.0,0.012802019977303637,7.602812241430141,,,2.494331065759637,75.05668934240364,2.494331065759637,75.05668934240364
